Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
Competitive cluster ,0: Average distance in clusters:, 0.926472, Average distance between clusters:, 0.053269, Davies-Bouldin index:, 34.784328, 
