Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541498, Average distance between clusters:, 0.025205, Davies-Bouldin index:, 42.967842, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
Competitive cluster ,0: Average distance in clusters:, 0.541637, Average distance between clusters:, 0.024048, Davies-Bouldin index:, 45.047228, 
