Competitive cluster ,0: Average distance in clusters:, 0.716780, Average distance between clusters:, 0.054793, Davies-Bouldin index:, 26.163304, 
Competitive cluster ,0: Average distance in clusters:, 0.716899, Average distance between clusters:, 0.039253, Davies-Bouldin index:, 36.527170, 
Competitive cluster ,0: Average distance in clusters:, 0.716780, Average distance between clusters:, 0.054793, Davies-Bouldin index:, 26.163304, 
Competitive cluster ,0: Average distance in clusters:, 0.716836, Average distance between clusters:, 0.053908, Davies-Bouldin index:, 26.594984, 
Competitive cluster ,0: Average distance in clusters:, 0.716970, Average distance between clusters:, 0.043655, Davies-Bouldin index:, 32.847439, 
Competitive cluster ,0: Average distance in clusters:, 0.716970, Average distance between clusters:, 0.043655, Davies-Bouldin index:, 32.847439, 
Competitive cluster ,0: Average distance in clusters:, 0.716836, Average distance between clusters:, 0.053908, Davies-Bouldin index:, 26.594984, 
Competitive cluster ,0: Average distance in clusters:, 0.716536, Average distance between clusters:, 0.049935, Davies-Bouldin index:, 28.698834, 
Competitive cluster ,0: Average distance in clusters:, 0.716536, Average distance between clusters:, 0.049935, Davies-Bouldin index:, 28.698834, 
Competitive cluster ,0: Average distance in clusters:, 0.716899, Average distance between clusters:, 0.039253, Davies-Bouldin index:, 36.527170, 
Competitive cluster ,0: Average distance in clusters:, 0.716780, Average distance between clusters:, 0.054793, Davies-Bouldin index:, 26.163304, 
Competitive cluster ,0: Average distance in clusters:, 0.716899, Average distance between clusters:, 0.039253, Davies-Bouldin index:, 36.527170, 
Competitive cluster ,0: Average distance in clusters:, 0.716899, Average distance between clusters:, 0.039253, Davies-Bouldin index:, 36.527170, 
Competitive cluster ,0: Average distance in clusters:, 0.716432, Average distance between clusters:, 0.060280, Davies-Bouldin index:, 23.770219, 
Competitive cluster ,0: Average distance in clusters:, 0.716970, Average distance between clusters:, 0.043655, Davies-Bouldin index:, 32.847439, 
Competitive cluster ,0: Average distance in clusters:, 0.716836, Average distance between clusters:, 0.053908, Davies-Bouldin index:, 26.594984, 
Competitive cluster ,0: Average distance in clusters:, 0.716836, Average distance between clusters:, 0.053908, Davies-Bouldin index:, 26.594984, 
Competitive cluster ,0: Average distance in clusters:, 0.716899, Average distance between clusters:, 0.039253, Davies-Bouldin index:, 36.527170, 
Competitive cluster ,0: Average distance in clusters:, 0.716970, Average distance between clusters:, 0.043655, Davies-Bouldin index:, 32.847439, 
Competitive cluster ,0: Average distance in clusters:, 0.716780, Average distance between clusters:, 0.054793, Davies-Bouldin index:, 26.163304, 
Competitive cluster ,0: Average distance in clusters:, 0.716899, Average distance between clusters:, 0.039253, Davies-Bouldin index:, 36.527170, 
Competitive cluster ,0: Average distance in clusters:, 0.716970, Average distance between clusters:, 0.043655, Davies-Bouldin index:, 32.847439, 
Competitive cluster ,0: Average distance in clusters:, 0.716899, Average distance between clusters:, 0.039253, Davies-Bouldin index:, 36.527170, 
Competitive cluster ,0: Average distance in clusters:, 0.716899, Average distance between clusters:, 0.039253, Davies-Bouldin index:, 36.527170, 
Competitive cluster ,0: Average distance in clusters:, 0.716536, Average distance between clusters:, 0.049935, Davies-Bouldin index:, 28.698834, 
Competitive cluster ,0: Average distance in clusters:, 0.716899, Average distance between clusters:, 0.039253, Davies-Bouldin index:, 36.527170, 
Competitive cluster ,0: Average distance in clusters:, 0.716536, Average distance between clusters:, 0.049935, Davies-Bouldin index:, 28.698834, 
Competitive cluster ,0: Average distance in clusters:, 0.716780, Average distance between clusters:, 0.054793, Davies-Bouldin index:, 26.163304, 
Competitive cluster ,0: Average distance in clusters:, 0.716780, Average distance between clusters:, 0.054793, Davies-Bouldin index:, 26.163304, 
Competitive cluster ,0: Average distance in clusters:, 0.716780, Average distance between clusters:, 0.054793, Davies-Bouldin index:, 26.163304, 
Competitive cluster ,0: Average distance in clusters:, 0.716836, Average distance between clusters:, 0.053908, Davies-Bouldin index:, 26.594984, 
Competitive cluster ,0: Average distance in clusters:, 0.716899, Average distance between clusters:, 0.039253, Davies-Bouldin index:, 36.527170, 
Competitive cluster ,0: Average distance in clusters:, 0.716899, Average distance between clusters:, 0.039253, Davies-Bouldin index:, 36.527170, 
Competitive cluster ,0: Average distance in clusters:, 0.716836, Average distance between clusters:, 0.053908, Davies-Bouldin index:, 26.594984, 
Competitive cluster ,0: Average distance in clusters:, 0.716970, Average distance between clusters:, 0.043655, Davies-Bouldin index:, 32.847439, 
Competitive cluster ,0: Average distance in clusters:, 0.716899, Average distance between clusters:, 0.039253, Davies-Bouldin index:, 36.527170, 
Competitive cluster ,0: Average distance in clusters:, 0.716899, Average distance between clusters:, 0.039253, Davies-Bouldin index:, 36.527170, 
Competitive cluster ,0: Average distance in clusters:, 0.716899, Average distance between clusters:, 0.039253, Davies-Bouldin index:, 36.527170, 
Competitive cluster ,0: Average distance in clusters:, 0.716836, Average distance between clusters:, 0.053908, Davies-Bouldin index:, 26.594984, 
Competitive cluster ,0: Average distance in clusters:, 0.716536, Average distance between clusters:, 0.049935, Davies-Bouldin index:, 28.698834, 
Competitive cluster ,0: Average distance in clusters:, 0.717083, Average distance between clusters:, 0.031747, Davies-Bouldin index:, 45.175204, 
Competitive cluster ,0: Average distance in clusters:, 0.716836, Average distance between clusters:, 0.053908, Davies-Bouldin index:, 26.594984, 
Competitive cluster ,0: Average distance in clusters:, 0.716899, Average distance between clusters:, 0.039253, Davies-Bouldin index:, 36.527170, 
Competitive cluster ,0: Average distance in clusters:, 0.716899, Average distance between clusters:, 0.039253, Davies-Bouldin index:, 36.527170, 
Competitive cluster ,0: Average distance in clusters:, 0.716836, Average distance between clusters:, 0.053908, Davies-Bouldin index:, 26.594984, 
Competitive cluster ,0: Average distance in clusters:, 0.716780, Average distance between clusters:, 0.054793, Davies-Bouldin index:, 26.163304, 
Competitive cluster ,0: Average distance in clusters:, 0.716780, Average distance between clusters:, 0.054793, Davies-Bouldin index:, 26.163304, 
Competitive cluster ,0: Average distance in clusters:, 0.716970, Average distance between clusters:, 0.043655, Davies-Bouldin index:, 32.847439, 
Competitive cluster ,0: Average distance in clusters:, 0.716836, Average distance between clusters:, 0.053908, Davies-Bouldin index:, 26.594984, 
Competitive cluster ,0: Average distance in clusters:, 0.716836, Average distance between clusters:, 0.053908, Davies-Bouldin index:, 26.594984, 
